Year,[explore],[investigate]
2000,1834.6246923361425,3314.978325069512
2001,1973.1940690964868,3484.9536191658754
2002,2128.9463492787686,3671.1459598826505
2003,2301.699954927986,3921.433424598556
2004,2529.174364697534,4125.675629206564
2005,2726.702957985161,4389.07948255604
2006,2956.3807863242396,4552.143902614594
2007,3136.824738703859,4728.0524587830205
2008,3312.33561943256,4876.533920027136
2009,3489.964543208976,5004.283982463016
2010,3736.987569201508,5187.565805114968
2011,4009.770416761379,5344.139709513321
2012,4251.130800425994,5598.918320939094
2013,4505.430392635082,5818.532459323138
2014,4818.8194862557575,6003.828119428037
2015,5054.130963547049,6183.250401411698
2016,5345.800150765614,6230.245075806787
2017,5789.019339663867,6422.507179733296
2018,6265.783365313063,6618.620635580495
2019,6755.3098443724675,6804.260853863603
2020,7176.2748790147325,6712.998380360978
2021,8018.662004150595,6862.7527799356585
2022,9023.959295178562,7082.011352632284
2023,9605.152270529687,7361.856520620615
2024,11632.489579808174,7753.350953774187
